iter	Accuracy	Logloss
0	0.8409223584	0.6146125147
1	0.8706946877	0.5509114231
2	0.8905429072	0.5030330157
3	0.8911266783	0.4569275279
4	0.8922942207	0.4279271521
5	0.8978400467	0.4019676649
6	0.9007589025	0.3809037839
7	0.9016345593	0.3566505092
8	0.9089316988	0.3385380685
9	0.9098073555	0.3218277529
10	0.9159369527	0.3062705241
11	0.9182720374	0.2924745419
12	0.920607122	0.2802697543
13	0.9252772913	0.2678152188
14	0.9249854057	0.2583237003
15	0.9293636894	0.2508275093
16	0.9322825452	0.2468147922
17	0.9346176299	0.2380727874
18	0.9372446001	0.23414279
19	0.938704028	0.2272514065
20	0.942206655	0.2195082348
21	0.9442498541	0.2114872986
22	0.9474605954	0.2052664743
23	0.951255108	0.1999813895
24	0.9530064215	0.1942418094
25	0.9535901926	0.190127706
26	0.9550496205	0.1852527894
27	0.9565090485	0.1808107757
28	0.9585522475	0.1769365751
29	0.9588441331	0.17295526
30	0.9605954466	0.1686656551
31	0.963806188	0.1645990797
32	0.9655575015	0.159177764
33	0.9678925861	0.155817966
34	0.9687682428	0.1525353035
35	0.9699357852	0.147827445
36	0.9713952131	0.1457757129
37	0.972854641	0.141954421
38	0.9740221833	0.1377889054
39	0.9746059545	0.1355042936
40	0.976357268	0.1324780937
41	0.9772329247	0.1287640925
42	0.9775248103	0.1271071988
43	0.9792761238	0.1243521384
44	0.9804436661	0.1225712445
45	0.9807355517	0.1200329382
46	0.9821949796	0.1171580639
47	0.9827787507	0.1135301496
48	0.9836544075	0.1121880835
49	0.9833625219	0.1103241862
50	0.9836544075	0.1081115857
51	0.9842381786	0.1064025138
52	0.9851138354	0.1043878722
53	0.985405721	0.1023201542
54	0.9871570344	0.1007911033
55	0.98744892	0.09903217128
56	0.9877408056	0.09723090032
57	0.9877408056	0.09531356119
58	0.9883245768	0.09383735938
59	0.9892002335	0.09264760552
60	0.9892002335	0.09070565581
61	0.9903677758	0.08848427562
62	0.9900758903	0.08673631699
63	0.990951547	0.08492394196
64	0.9915353182	0.08276333711
65	0.9915353182	0.08089060519
66	0.9912434326	0.07920141552
67	0.9918272037	0.07779965075
68	0.9927028605	0.07627199567
69	0.9932866316	0.07487459058
70	0.9927028605	0.07428535398
71	0.9935785172	0.07314185373
72	0.9941622884	0.07191064729
73	0.994454174	0.07113728533
74	0.994454174	0.07052041331
75	0.9947460595	0.06937150974
76	0.994454174	0.06758504384
77	0.994454174	0.06615760734
78	0.994454174	0.06554712775
79	0.9947460595	0.06443455112
80	0.9947460595	0.06377058403
81	0.9953298307	0.06280835079
82	0.9953298307	0.06167746223
83	0.9953298307	0.06065936856
84	0.9956217163	0.05917255604
85	0.9959136019	0.05822694278
86	0.9962054874	0.05751115621
87	0.9973730298	0.05664665761
88	0.9967892586	0.05570361058
89	0.9973730298	0.05491984448
90	0.9976649154	0.05429371101
91	0.9982486865	0.05330865132
92	0.9982486865	0.05274731044
93	0.9985405721	0.05149442771
94	0.9988324577	0.05031581755
95	0.9988324577	0.04965533895
96	0.9991243433	0.04874143794
97	0.9988324577	0.04768631338
98	0.9988324577	0.04679396383
99	0.9991243433	0.0460575045
100	0.9988324577	0.04507115176
101	0.9988324577	0.04432625007
102	0.9988324577	0.04364243638
103	0.9991243433	0.04296477333
104	0.9991243433	0.04233945539
105	0.9991243433	0.04163863279
106	0.9991243433	0.04075868858
107	0.9991243433	0.03989775645
108	0.9994162288	0.03907137893
109	0.9997081144	0.03812196321
110	0.9997081144	0.03758265471
111	0.9997081144	0.03695470432
112	0.9997081144	0.03669328165
113	0.9997081144	0.03591613302
114	0.9997081144	0.03537543777
115	0.9997081144	0.03486064366
116	0.9997081144	0.03454212017
117	0.9997081144	0.03399438782
118	0.9997081144	0.03337373758
119	0.9997081144	0.03267846099
120	0.9997081144	0.03193127812
121	0.9997081144	0.03131444248
122	1	0.03052991622
123	1	0.03003338788
124	1	0.02986193302
125	1	0.02930413424
126	1	0.02879729417
127	1	0.02835252823
128	1	0.02782399097
129	1	0.02753208724
130	1	0.02714311433
131	1	0.02689150229
132	1	0.02641780819
133	1	0.02617966586
134	1	0.0258892284
